checkpoint_name,cer,ser,ler,cer_kern,ser_kern,ler_kern,cer_mxhm,ser_mxhm,ler_mxhm,tokenizer_type
smt_pre_syn_medium.ckpt,14.453049161938866,11.459080404813133,29.898832684824903,11.674966904116497,15.631808278867103,27.760169043845746,15.295434556648276,10.53921568627451,18.013734812466982,medium
smt_pre_syn_word.ckpt,14.405591388571306,11.765877759183999,29.198443579766536,14.965643320935511,16.938997821350764,29.95245641838352,20.98824658191413,12.731481481481481,21.896460644479664,word
smt_pre_syn_character.ckpt,10.794486269603297,9.988843732568332,24.45136186770428,10.678938410136796,14.283769063180827,25.171685155837295,13.3205404973215,9.626906318082789,16.032752245113578,character
smt_pre_medium.ckpt,15.969540738184094,12.690254203522192,32.37354085603113,12.683603353716196,16.44880174291939,29.054410987849973,17.31830175101943,12.118736383442267,20.602218700475436,medium
smt_syn_medium.ckpt,55.12220376642147,42.349988046856325,82.56809338521401,73.340477841518,67.36111111111111,105.83729529846804,59.03094267210362,43.028322440087145,58.53143159006867,medium
smt_pre_word.ckpt,20.78434756347477,16.594947804605944,40.3579766536965,27.39708756225178,27.709694989106755,48.996302165874276,25.52170784360758,16.612200435729847,27.57527733755943,word
smt_pre_character.ckpt,14.09927303319887,12.654394772491832,30.988326848249027,15.13585072180546,18.940631808278866,33.38615953512942,16.31086591508755,11.696623093681918,19.387216059165347,character
smt_syn_character.ckpt,38.84634467286494,31.75551836799745,65.32295719844358,53.571203429363926,52.764161220043576,87.45377707342843,45.57447829215639,31.427015250544663,46.11727416798732,character
smt_syn_word.ckpt,50.71941670082188,38.89552952426488,73.04280155642023,76.51137867994704,70.62908496732027,97.75488642366614,67.05045174702167,45.46568627450981,48.94347596407818,word
smt_character.ckpt,51.68582954030675,41.214439397561556,80.93385214007782,77.65239866355671,72.03159041394335,111.30480718436344,56.592308307347885,42.6062091503268,54.120443740095084,character
smt_medium.ckpt,54.13206204025282,42.716551119611125,79.76653696498055,73.04419088444808,67.3202614379085,101.3998943475964,60.83793075877509,46.74564270152506,61.19915478077126,medium
smt_word.ckpt,52.77735832776064,41.70451828830983,82.8171206225681,82.43711782134527,74.61873638344227,115.13470681458003,57.319900855520906,43.75,55.229793977812996,word
